iter	Logloss	Accuracy
0	0.6281146052	0.8245192308
1	0.5541164907	0.8461538462
2	0.5114587914	0.8461538462
3	0.4831470318	0.8461538462
4	0.4566748144	0.8389423077
5	0.4378917372	0.8485576923
6	0.4245306675	0.8389423077
7	0.4190266055	0.8461538462
8	0.4079316502	0.8509615385
9	0.4021286998	0.8509615385
10	0.396564921	0.8533653846
11	0.388933315	0.8461538462
12	0.3826803185	0.8533653846
13	0.3782343839	0.8461538462
14	0.3731110213	0.8461538462
15	0.3671919409	0.8461538462
16	0.3649718843	0.8461538462
17	0.3642036842	0.8485576923
18	0.3624790684	0.8461538462
19	0.3613947732	0.84375
20	0.3597450007	0.8461538462
21	0.3589773593	0.8461538462
22	0.3578264547	0.8461538462
23	0.3562827527	0.8485576923
24	0.3543569912	0.8509615385
25	0.3535554863	0.8509615385
26	0.3503837859	0.8509615385
27	0.3489336276	0.8533653846
28	0.3489303703	0.8533653846
29	0.3470923258	0.8557692308
30	0.3463600485	0.8557692308
31	0.3459224558	0.8557692308
32	0.3448583388	0.8557692308
33	0.3437430552	0.8557692308
34	0.33912345	0.8605769231
35	0.338882292	0.8605769231
36	0.3361662155	0.8629807692
37	0.3351517707	0.8653846154
38	0.3342001385	0.8653846154
39	0.331444723	0.8653846154
40	0.3284658396	0.8653846154
41	0.3254038183	0.8677884615
42	0.3248127305	0.8677884615
43	0.3246660577	0.8677884615
44	0.3237177084	0.8701923077
45	0.3233125208	0.8701923077
46	0.3231551615	0.8701923077
47	0.3215030317	0.8725961538
48	0.3210085466	0.8725961538
49	0.3196810483	0.875
50	0.318532388	0.875
51	0.3166260228	0.875
52	0.3166258525	0.875
53	0.3133865874	0.8725961538
54	0.3118403378	0.8725961538
55	0.3110139443	0.875
56	0.3107414673	0.875
57	0.3106833507	0.875
58	0.3096151079	0.875
59	0.3058631307	0.8774038462
60	0.3057325821	0.8774038462
61	0.3046860711	0.8798076923
62	0.3035729588	0.8822115385
63	0.302439389	0.8822115385
64	0.3002052117	0.8894230769
65	0.2985262534	0.8894230769
66	0.2977467742	0.8894230769
67	0.2963478808	0.8894230769
68	0.2962117534	0.8894230769
69	0.2955856448	0.8894230769
70	0.2940803217	0.8894230769
71	0.2928894606	0.8918269231
72	0.2924714006	0.8918269231
73	0.2919553809	0.8918269231
74	0.2912392557	0.8918269231
75	0.2895868332	0.8942307692
76	0.2892585811	0.8942307692
77	0.2876423422	0.8942307692
78	0.285743775	0.8942307692
79	0.285111468	0.8942307692
80	0.2841135607	0.8966346154
81	0.281879296	0.8966346154
82	0.2800320013	0.8942307692
83	0.279216182	0.8942307692
84	0.2787724508	0.8966346154
85	0.2776906582	0.8942307692
86	0.2754929693	0.8966346154
87	0.275256732	0.8966346154
88	0.2744661787	0.8966346154
89	0.2734568792	0.8966346154
90	0.2713418893	0.8990384615
91	0.2695874692	0.9014423077
92	0.2686157646	0.9014423077
93	0.2682158282	0.8990384615
94	0.2668075865	0.8990384615
95	0.2655329201	0.9014423077
96	0.2648414651	0.8990384615
97	0.2639973983	0.8990384615
98	0.2623116517	0.9014423077
99	0.2605384621	0.9038461538
