iter	Passed	Remaining
0	131	13030
1	186	9129
2	231	7481
3	278	6675
4	311	5923
5	355	5570
6	419	5578
7	446	5132
8	494	4998
9	541	4869
10	614	4973
11	672	4934
12	718	4805
13	764	4697
14	826	4680
15	902	4740
16	976	4766
17	1019	4644
18	1080	4607
19	1119	4478
20	1154	4344
21	1193	4229
22	1216	4072
23	1292	4094
24	1361	4083
25	1392	3963
26	1450	3921
27	1491	3835
28	1518	3717
29	1571	3666
30	1607	3577
31	1645	3497
32	1679	3409
33	1746	3390
34	1821	3382
35	1848	3287
36	1906	3246
37	1967	3210
38	2018	3157
39	2087	3131
40	2147	3090
41	2211	3054
42	2275	3015
43	2324	2958
44	2382	2912
45	2429	2852
46	2467	2782
47	2507	2715
48	2529	2632
49	2583	2583
50	2648	2544
51	2724	2515
52	2751	2440
53	2813	2396
54	2872	2350
55	2950	2318
56	2996	2260
57	3020	2187
58	3083	2142
59	3150	2100
60	3188	2038
61	3251	1992
62	3314	1946
63	3376	1899
64	3438	1851
65	3515	1811
66	3579	1762
67	3642	1713
68	3684	1655
69	3722	1595
70	3781	1544
71	3838	1492
72	3893	1440
73	3954	1389
74	4035	1345
75	4100	1294
76	4138	1236
77	4216	1189
78	4287	1139
79	4361	1090
80	4434	1040
81	4510	990
82	4577	937
83	4652	886
84	4693	828
85	4746	772
86	4821	720
87	4879	665
88	4940	610
89	5013	557
90	5105	504
91	5163	448
92	5225	393
93	5279	337
94	5346	281
95	5422	225
96	5478	169
97	5547	113
98	5610	56
99	5681	0
