iter	Logloss	Accuracy
0	0.6842272892	0.8245192308
1	0.6717408996	0.8461538462
2	0.6618476053	0.8389423077
3	0.6529445041	0.8461538462
4	0.6435999139	0.84375
5	0.6368379315	0.8269230769
6	0.6275855475	0.8269230769
7	0.6180235678	0.8245192308
8	0.6119713284	0.8221153846
9	0.6054488996	0.8221153846
10	0.5974951766	0.8389423077
11	0.5896174386	0.8389423077
12	0.5824169909	0.8293269231
13	0.5743855927	0.8293269231
14	0.5689453861	0.8269230769
15	0.5625722251	0.8269230769
16	0.5577504945	0.8221153846
17	0.5513604439	0.8221153846
18	0.5448794812	0.8221153846
19	0.5396016293	0.8221153846
20	0.5364107239	0.8221153846
21	0.5319858039	0.8221153846
22	0.5279606645	0.8269230769
23	0.5229883651	0.8221153846
24	0.5174882996	0.8245192308
25	0.5125030684	0.8269230769
26	0.5103450896	0.8317307692
27	0.5069016373	0.8317307692
28	0.5034205155	0.8317307692
29	0.5014301272	0.8317307692
30	0.49965949	0.8317307692
31	0.4961029631	0.8317307692
32	0.4924042162	0.8341346154
33	0.488357169	0.8341346154
34	0.4852896329	0.8341346154
35	0.4823980924	0.8341346154
36	0.4809876047	0.8341346154
37	0.4782437352	0.8341346154
38	0.4746627154	0.8341346154
39	0.4713950907	0.8317307692
40	0.4683381507	0.8317307692
41	0.4665813946	0.8317307692
42	0.4640373461	0.8317307692
43	0.4624752135	0.8317307692
44	0.4588462067	0.8317307692
45	0.4563239292	0.8341346154
46	0.4547854016	0.8341346154
47	0.4532911084	0.8317307692
48	0.4516986982	0.8317307692
49	0.4499132092	0.8317307692
50	0.4484239376	0.8317307692
51	0.4466161227	0.8317307692
52	0.4448855786	0.8317307692
53	0.4429724022	0.8317307692
54	0.4417509947	0.8317307692
55	0.4394468571	0.8317307692
56	0.4371719532	0.8293269231
57	0.4341543181	0.8317307692
58	0.432732379	0.8293269231
59	0.4313535565	0.8293269231
60	0.4279433684	0.8293269231
61	0.4263109341	0.8317307692
62	0.4250628383	0.8293269231
63	0.4235189877	0.8365384615
64	0.4217323697	0.8365384615
65	0.4210568844	0.8389423077
66	0.4196633428	0.8389423077
67	0.4179842186	0.8413461538
68	0.417383784	0.84375
69	0.4159155806	0.8413461538
70	0.4144145246	0.84375
71	0.4137972576	0.84375
72	0.4127112624	0.84375
73	0.4117386145	0.8413461538
74	0.4111425214	0.8413461538
75	0.4105355487	0.8413461538
76	0.4101545503	0.84375
77	0.4094178128	0.84375
78	0.4083681216	0.84375
79	0.4080119349	0.8413461538
80	0.4066076172	0.8413461538
81	0.4051837164	0.8413461538
82	0.4042667995	0.8413461538
83	0.403890595	0.8389423077
84	0.402225111	0.84375
85	0.4008791119	0.8413461538
86	0.4004980861	0.8413461538
87	0.3998715202	0.8413461538
88	0.3990387113	0.8413461538
89	0.3980925862	0.8413461538
90	0.3976006087	0.8413461538
91	0.3968966442	0.8413461538
92	0.3956904797	0.8413461538
93	0.394375	0.84375
94	0.3938611422	0.84375
95	0.3934577064	0.8413461538
96	0.3920110646	0.8413461538
97	0.3911873467	0.8413461538
98	0.3909106665	0.8413461538
99	0.3901923232	0.8413461538
100	0.3895574364	0.8413461538
101	0.3884829685	0.84375
102	0.3876732355	0.84375
103	0.3871976346	0.84375
104	0.3869363093	0.84375
105	0.3862484024	0.84375
106	0.3842268688	0.8461538462
107	0.3832160479	0.8461538462
108	0.3830492414	0.8461538462
109	0.3820760303	0.8485576923
110	0.3819313742	0.8485576923
111	0.3813276588	0.8485576923
112	0.3810841491	0.8461538462
113	0.3805567519	0.84375
114	0.3803159909	0.84375
115	0.3799233795	0.84375
116	0.3790379266	0.84375
117	0.3782168367	0.8461538462
118	0.3780312994	0.8461538462
119	0.3773329854	0.8461538462
120	0.3769678365	0.8461538462
121	0.3767981557	0.8461538462
122	0.3761567224	0.8461538462
123	0.3757496402	0.8461538462
124	0.375417378	0.8461538462
125	0.374894367	0.8461538462
