iter	Passed	Remaining
0	60	60765
1	110	55097
2	147	49022
3	185	46257
4	215	42976
5	256	42508
6	295	41922
7	358	44449
8	409	45063
9	442	43853
10	490	44111
11	543	44775
12	579	43982
13	628	44279
14	661	43466
15	692	42564
16	728	42115
17	774	42276
18	823	42542
19	864	42374
20	890	41528
21	946	42070
22	990	42081
23	1027	41782
24	1079	42100
25	1119	41946
26	1147	41344
27	1179	40939
28	1206	40385
29	1226	39641
30	1255	39229
31	1290	39031
32	1338	39218
33	1378	39151
34	1426	39343
35	1459	39076
36	1481	38550
37	1517	38419
38	1579	38925
39	1651	39631
40	1699	39746
41	1722	39294
42	1769	39373
43	1810	39332
44	1855	39368
45	1896	39324
46	1920	38947
47	1942	38526
48	1977	38378
49	2004	38081
50	2031	37796
51	2055	37479
52	2083	37227
53	2108	36943
54	2129	36585
55	2169	36578
56	2224	36804
57	2275	36953
58	2306	36790
59	2334	36580
60	2380	36646
61	2433	36820
62	2482	36923
63	2520	36864
64	2571	36983
65	2612	36970
66	2652	36930
67	2698	36991
68	2726	36788
69	2757	36628
70	2792	36542
71	2822	36379
72	2849	36182
73	2880	36045
74	2909	35888
75	2958	35966
76	2985	35790
77	3012	35603
78	3042	35470
79	3073	35346
80	3119	35398
81	3173	35529
82	3202	35376
83	3222	35140
84	3273	35241
85	3324	35327
86	3351	35167
87	3372	34949
88	3416	34969
89	3450	34892
90	3483	34800
91	3534	34880
92	3590	35018
93	3640	35084
94	3690	35155
95	3723	35062
96	3768	35077
97	3810	35071
98	3835	34906
99	3880	34920
100	3907	34783
101	3965	34907
102	4008	34913
103	4031	34734
104	4052	34542
105	4088	34480
106	4140	34554
107	4187	34586
108	4213	34438
109	4258	34458
110	4296	34414
111	4335	34375
112	4362	34245
113	4411	34283
114	4434	34129
115	4460	33988
116	4510	34037
117	4564	34117
118	4589	33980
119	4641	34036
120	4680	33999
121	4702	33842
122	4729	33721
123	4757	33610
124	4779	33456
125	4808	33356
126	4837	33255
127	4859	33104
128	4893	33038
129	4941	33069
130	4968	32960
131	5014	32973
132	5051	32928
133	5104	32991
134	5158	33054
135	5183	32928
136	5210	32819
137	5260	32859
138	5302	32842
139	5353	32888
140	5404	32925
141	5436	32846
142	5459	32715
143	5479	32572
144	5506	32466
145	5537	32389
146	5596	32477
147	5648	32517
148	5674	32408
149	5721	32422
150	5751	32338
151	5780	32249
152	5811	32174
153	5836	32064
154	5860	31947
155	5926	32063
156	5955	31976
157	5979	31867
158	6032	31908
159	6082	31930
160	6119	31889
161	6142	31772
162	6171	31688
163	6201	31614
164	6227	31512
165	6273	31519
166	6304	31448
167	6342	31409
168	6365	31301
169	6395	31223
170	6444	31242
171	6471	31155
172	6522	31181
173	6573	31203
174	6606	31147
175	6640	31091
176	6680	31060
177	6711	30993
178	6761	31013
179	6795	30957
180	6837	30940
181	6886	30950
182	6931	30947
183	6969	30907
184	7015	30904
185	7047	30840
186	7094	30844
187	7157	30912
188	7191	30856
189	7227	30809
190	7261	30758
191	7309	30760
192	7334	30669
193	7369	30618
194	7415	30612
195	7468	30634
196	7491	30536
197	7527	30491
198	7550	30390
199	7573	30292
200	7623	30302
201	7652	30229
202	7676	30140
203	7715	30105
204	7747	30046
205	7790	30029
206	7828	29989
207	7865	29950
208	7935	30032
209	7992	30066
210	8024	30008
211	8073	30008
212	8106	29953
213	8148	29927
214	8178	29861
215	8230	29874
216	8259	29802
217	8307	29801
218	8361	29817
219	8385	29728
220	8413	29656
221	8439	29575
222	8483	29559
223	8507	29472
224	8538	29409
225	8569	29349
226	8623	29366
227	8650	29289
228	8685	29241
229	8711	29165
230	8739	29095
231	8771	29037
232	8800	28970
233	8830	28905
234	8862	28851
235	8932	28917
236	8981	28915
237	9019	28878
238	9050	28817
239	9082	28761
240	9126	28743
241	9160	28692
242	9200	28660
243	9232	28604
244	9285	28613
245	9308	28531
246	9340	28474
247	9370	28414
248	9419	28410
249	9451	28355
250	9487	28310
251	9513	28238
252	9542	28174
253	9595	28182
254	9618	28101
255	9642	28024
256	9668	27953
257	9722	27960
258	9746	27883
259	9788	27858
260	9811	27780
261	9835	27703
262	9887	27707
263	9950	27741
264	9977	27673
265	10030	27677
266	10054	27602
267	10103	27596
268	10156	27600
269	10183	27534
270	10214	27478
271	10238	27404
272	10276	27366
273	10307	27310
